,DATE,temp,feels_like,temp_min,temp_max,pressure,humidity,Clear,Clouds,Drizzle,Fog,Mist,Rain,Smoke,Snow,DATES
150,2018-01-07 06:00:00,0.58,-4.5,-1.0,4.69,1029,86,0,1,0,0,0,0,0,0,2018-01-07 06:00:00
151,2018-01-07 07:00:00,1.59,-4.31,-2.0,4.85,1029,75,0,1,0,0,0,0,0,0,2018-01-07 07:00:00
152,2018-01-07 08:00:00,2.42,-3.98,-1.0,5.0,1030,65,0,1,0,0,0,0,0,0,2018-01-07 08:00:00
153,2018-01-07 09:00:00,2.41,-3.63,-1.0,5.0,1031,65,0,1,0,0,0,0,0,0,2018-01-07 09:00:00
154,2018-01-07 10:00:00,4.79,-0.97,2.63,5.07,1031,65,0,1,0,0,0,0,0,0,2018-01-07 10:00:00
155,2018-01-07 11:00:00,4.95,-1.36,3.88,5.29,1031,70,0,1,0,0,0,0,0,0,2018-01-07 11:00:00
156,2018-01-07 12:00:00,5.41,-1.83,4.1,6.0,1030,61,0,1,0,0,0,0,0,0,2018-01-07 12:00:00
157,2018-01-07 13:00:00,5.37,-0.67,4.28,6.0,1030,65,0,1,0,0,0,0,0,0,2018-01-07 13:00:00
158,2018-01-07 14:00:00,5.02,-2.51,4.93,5.48,1029,65,0,1,0,0,0,0,0,0,2018-01-07 14:00:00
159,2018-01-07 15:00:00,5.0,-1.45,4.68,5.37,1029,65,0,1,0,0,0,0,0,0,2018-01-07 15:00:00
160,2018-01-07 16:00:00,4.05,-1.66,3.25,5.14,1029,70,0,1,0,0,0,0,0,0,2018-01-07 16:00:00
161,2018-01-07 17:00:00,3.11,-2.73,2.27,4.79,1029,70,0,1,0,0,0,0,0,0,2018-01-07 17:00:00
162,2018-01-07 18:00:00,1.83,-4.41,1.0,4.49,1029,75,0,1,0,0,0,0,0,0,2018-01-07 18:00:00
163,2018-01-07 19:00:00,1.71,-4.79,1.0,4.27,1029,80,0,1,0,0,0,0,0,0,2018-01-07 19:00:00
164,2018-01-07 20:00:00,2.12,-3.86,1.04,4.09,1028,69,0,1,0,0,0,0,0,0,2018-01-07 20:00:00
165,2018-01-07 21:00:00,2.1,-4.0,0.97,3.98,1028,64,0,1,0,0,0,0,0,0,2018-01-07 21:00:00
166,2018-01-07 22:00:00,1.57,-4.34,0.33,3.58,1028,75,0,1,0,0,0,0,0,0,2018-01-07 22:00:00
167,2018-01-07 23:00:00,1.61,-4.54,0.2,3.44,1027,64,0,1,0,0,0,0,0,0,2018-01-07 23:00:00
168,2018-01-08 00:00:00,1.06,-4.93,-0.09,3.27,1027,74,0,1,0,0,0,0,0,0,2018-01-08 00:00:00
169,2018-01-08 01:00:00,0.56,-5.36,-1.0,3.06,1026,80,0,1,0,0,0,0,0,0,2018-01-08 01:00:00
170,2018-01-08 02:00:00,-0.28,-6.3,-2.0,2.95,1026,80,0,1,0,0,0,0,0,0,2018-01-08 02:00:00
171,2018-01-08 03:00:00,-0.28,-6.18,-2.0,2.97,1025,86,0,1,0,0,0,0,0,0,2018-01-08 03:00:00
172,2018-01-08 04:00:00,0.19,-5.9,-0.95,2.88,1025,74,0,1,0,0,0,0,0,0,2018-01-08 04:00:00
173,2018-01-08 05:00:00,-0.7,-5.69,-2.0,2.89,1024,80,0,1,0,0,0,0,0,0,2018-01-08 05:00:00
174,2018-01-08 06:00:00,-0.7,-5.69,-2.0,2.91,1024,80,0,1,0,0,0,0,0,0,2018-01-08 06:00:00
175,2018-01-08 07:00:00,-0.3,-4.89,-2.0,2.99,1023,80,0,1,0,0,0,0,0,0,2018-01-08 07:00:00
176,2018-01-08 08:00:00,-0.29,-5.23,-2.0,3.08,1023,80,1,0,0,0,0,0,0,0,2018-01-08 08:00:00
177,2018-01-08 09:00:00,-0.97,-6.1,-2.0,3.07,1023,74,1,0,0,0,0,0,0,0,2018-01-08 09:00:00
178,2018-01-08 10:00:00,1.66,-3.88,1.0,3.65,1022,75,0,1,0,0,0,0,0,0,2018-01-08 10:00:00
179,2018-01-08 11:00:00,4.37,-2.05,2.91,5.0,1021,56,0,1,0,0,0,0,0,0,2018-01-08 11:00:00
180,2018-01-08 12:00:00,4.83,-2.15,3.53,5.0,1020,60,0,1,0,0,0,0,0,0,2018-01-08 12:00:00
181,2018-01-08 13:00:00,4.84,-1.99,3.55,5.0,1019,65,0,1,0,0,0,0,0,0,2018-01-08 13:00:00
182,2018-01-08 14:00:00,4.78,-1.78,3.12,5.0,1018,75,0,1,0,0,0,0,0,0,2018-01-08 14:00:00
183,2018-01-08 15:00:00,3.97,-3.06,3.49,4.19,1018,75,0,1,0,0,0,0,0,0,2018-01-08 15:00:00
184,2018-01-08 16:00:00,3.5,-2.52,2.43,4.13,1017,75,0,1,0,0,0,0,0,0,2018-01-08 16:00:00
185,2018-01-08 17:00:00,3.09,-3.59,2.0,4.22,1016,80,0,1,0,0,0,0,0,0,2018-01-08 17:00:00
186,2018-01-08 18:00:00,3.51,-4.15,2.18,4.41,1016,81,0,1,0,0,0,0,0,0,2018-01-08 18:00:00
187,2018-01-08 19:00:00,3.54,-2.88,2.35,4.58,1015,87,0,1,0,0,0,0,0,0,2018-01-08 19:00:00
188,2018-01-08 20:00:00,3.57,-3.57,2.55,4.71,1014,87,0,1,0,0,0,0,0,0,2018-01-08 20:00:00
189,2018-01-08 21:00:00,3.59,-3.18,2.74,4.81,1013,87,0,1,0,0,0,0,0,0,2018-01-08 21:00:00
190,2018-01-08 22:00:00,3.59,-4.98,2.77,4.8,1012,87,0,1,0,0,0,0,0,0,2018-01-08 22:00:00
191,2018-01-08 23:00:00,3.6,-4.26,2.81,4.87,1011,87,0,1,0,0,0,0,0,0,2018-01-08 23:00:00
192,2018-01-09 00:00:00,3.62,-2.27,2.91,4.97,1010,93,0,1,0,0,0,0,0,0,2018-01-09 00:00:00
193,2018-01-09 01:00:00,4.05,-3.01,3.3,5.21,1009,87,0,1,0,0,0,0,0,0,2018-01-09 01:00:00
194,2018-01-09 02:00:00,4.08,-2.26,3.47,5.33,1008,87,0,1,0,0,0,0,0,0,2018-01-09 02:00:00
195,2018-01-09 03:00:00,4.13,-1.67,3.82,5.56,1007,93,0,1,0,0,0,0,0,0,2018-01-09 03:00:00
196,2018-01-09 04:00:00,4.6,-1.84,4.0,6.06,1006,93,0,0,1,0,0,0,0,0,2018-01-09 04:00:00
197,2018-01-09 05:00:00,4.68,-1.55,4.0,6.48,1006,100,0,0,1,0,0,0,0,0,2018-01-09 05:00:00
198,2018-01-09 06:00:00,5.14,-3.36,5.0,6.59,1004,93,0,0,1,0,0,0,0,0,2018-01-09 06:00:00
